trip_distance,fare_amount,passenger_count,total_amount
1.31,9.3,1.0,11.8
5.41,24.0,1.0,35.7
1.3,9.3,1.0,18.06
0.48,4.4,1.0,6.9
7.7,31.0,1.0,62.09
2.66,17.0,2.0,27.3
1.14,9.3,1.0,15.05
1.59,14.2,4.0,19.95
3.0,16.3,1.0,26.46
0.5,4.4,1.0,12.7
2.3,11.4,1.0,21.45
0.3,3.7,1.0,9.45
9.2,35.9,1.0,61.79
0.9,7.2,1.0,15.5
2.6,14.9,1.0,20.65
0.83,6.5,1.0,14.25
1.56,9.3,1.0,18.06
2.8,15.6,1.0,25.6
1.55,9.3,1.0,18.06
1.03,10.0,1.0,17.0
4.17,20.5,1.0,31.5
1.18,9.3,1.0,18.06
1.02,7.2,1.0,11.7
1.53,12.8,2.0,22.26
1.74,10.0,1.0,16.75
2.3,12.1,3.0,22.3
2.55,12.1,1.0,21.42
1.19,8.6,1.0,17.22
0.0,55.0,1.0,67.2
0.52,4.4,2.0,12.18
17.63,70.0,1.0,83.44
0.69,6.5,1.0,14.7
2.51,14.2,1.0,23.94
3.86,18.4,1.0,24.15
0.0,18.4,1.0,23.65
2.0,12.8,1.0,22.26
4.09,18.4,1.0,28.98
3.05,16.3,3.0,23.05
3.56,22.6,3.0,30.35
1.11,8.6,2.0,17.22
3.78,19.1,1.0,24.85
2.18,12.1,1.0,20.52
9.82,38.0,1.0,60.6
2.31,11.4,1.0,20.58
0.68,5.8,1.0,13.86
3.79,20.5,1.0,28.87
0.72,5.1,2.0,13.02
2.23,12.8,1.0,22.26
1.82,10.7,1.0,19.74
16.94,70.0,1.0,85.75
5.0,25.4,1.0,37.38
3.64,19.1,1.0,29.82
1.21,10.0,1.0,18.9
0.88,7.2,1.0,15.54
1.21,7.2,1.0,15.54
2.0,11.4,1.0,20.58
1.47,9.3,1.0,18.06
0.65,6.5,1.0,14.7
1.9,11.4,1.0,19.65
1.15,9.3,1.0,18.06
2.88,17.0,1.0,22.75
2.68,12.8,1.0,22.11
1.59,10.7,1.0,20.56
0.75,7.9,2.0,16.38
1.06,7.9,2.0,16.38
0.0,70.0,1.0,100.0
1.6,9.3,1.0,18.06
0.92,6.5,1.0,14.7
1.94,12.8,1.0,22.26
2.0,12.1,1.0,21.42
7.06,33.8,1.0,47.46
0.7,5.8,3.0,11.55
4.44,24.0,1.0,35.7
1.33,8.6,1.0,17.22
2.56,12.8,1.0,18.55
12.46,55.5,1.0,66.25
1.27,8.6,1.0,17.22
0.36,3.7,1.0,11.34
1.21,9.3,1.0,18.06
0.93,7.2,1.0,16.19
6.1,30.3,2.0,43.25
4.8,24.7,1.0,36.54
2.19,19.1,1.0,29.82
2.64,15.6,1.0,25.62
11.95,47.1,1.0,67.27
2.38,12.8,1.0,16.8
1.16,7.2,1.0,15.54
0.75,6.5,2.0,14.7
0.6,6.5,1.0,14.7
1.06,7.9,1.0,15.56
1.16,7.2,6.0,15.54
9.5,37.3,1.0,41.55
2.6,14.9,1.0,25.65
1.04,7.9,1.0,16.38
2.0,11.4,1.0,20.55
1.39,9.3,1.0,18.81
1.07,7.2,1.0,14.95
3.85,19.8,1.0,30.66
1.55,10.0,2.0,14.0
